position;username;user_id;title;text;highlighs;link;location;address;latitude;longitude
41;KontanNews;43799886.0;Rudy Limin (@rudylimin) / X;Jeritan Korban Asuransi WanaArtha Life, Dimana Negara dan Kejaksaan? https://t.co/3xrdnaIML6.;['WanaArtha Life'];https://twitter.com/rudylimin;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
42;KontanNews;43799886.0;Wil Lauri (@lauri_wil) / X;Buntut Polemik Asuransi WanaArtha Life, Muncul Wacana Pembubaran OJK - Suara Karya. Wacana pembubaran OJK muncul karena dalam kasus Asuransi terutama ...;['WanaArtha Life'];https://twitter.com/lauri_wil;Palembang,Sumsel,Indonesia;Palembang, Sumatera Selatan;-29.888.297;104.756.857
43;Listyanto9;7.39e+17;Robbie Chandra (@robbietjan) / X;Jul 13, 2020 · https://keuangan.kontan.co.id/news/kejagung-masih-blokir-rekening-efek-agen-wanaartha-life-datangi-dpr… ;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
44;arahdotcom;4848874949.0;Alex Stefanus;Kl dgn pembuktian Juniver Girsang (lawyer Wanaartha Life) di sidang keberatan lalu & @KejaksaanRI masih ajukan kasasi.. itu namanya ...;['Wanaartha Life'];https://twitter.com/alexstefanus/status/1448642035578126342;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
45;RakyatMerdeka99;7.12e+17;irvan rahardjo (@irvanrahardjo) / X;SERI BUKU ASURANSI : Robohnya Asuransi Kami - Bumiputera ( 2020);;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
46;GULINGKUSUT;173907219.0;Palmer Situmorang Ph.D;alexstefanus @rano_alfath Capek yah. Wanaartha Life sendiri yg rekening efek dan reksa dananya disita sdh datang meyampaikan keberatan pihak ...;['Wanaartha Life'];https://mobile.twitter.com/palmersitumoran/status/1309349409721778176;Kalimantan Tengah, Indonesia;Kalimantan Tengah, Indonesia;-1.499.583;1.132.903.307
47;KontanNews;43799886.0;rudyhandsome888 - rudy888;Rekening Efek WanaArtha Life Masih Diblokir, Bagaimana Nasib Dana Nasabah? ... Rekening Wanaartha Life Masih Diblokir, Presdir Kembali Surati Nasabah http ...;['WanaArtha Life', 'Wanaartha Life'];https://twitter.com/rudyhandsome888;Malang,JawaTimur;Malang, Jawa Timur, Indonesia;-810.479.815;1.126.879.872
48;KontanNews;43799886.0;Alex Stefanus;lbh dr 1 thn dr status tsk tdk bs temukan owner Wanaartha Life (WAL) yg kabur ke AS? Knp nsbh WAL malah berhsl temukan lokasi Eveline ...;['Wanaartha Life'];https://twitter.com/alexstefanus/status/1712345971575951806;MNCNewsCenterLt.11Jakarta;iNews Tower, Jalan Kebon Sirih Jakarta;-61.849.205;1.068.308.589
49;Listyanto9;7.39e+17;WanaArtha Life Official;Terus bekerja, berinovasi untuk masyarakat Indonesia dengan tetap memegang nilai-nilai pokok WanaArtha Life, yaitu SATU;;;Bogor,JawaBarat;Bogor, Jawa Barat, 16121, Indonesia;-65.962.986;1.067.972.421
50;TheendTo;1.2e+18;Alex Stefanus;28/5/2021: Sidang keberatan Wanaartha Life dgn Lawyer Juniver Girsang utk pembuktian & keterangan saksi fakta oleh Daniel Halim sbg DirKeu ...;['Wanaartha Life'];https://twitter.com/alexstefanus/status/1398459928818294784;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
51;arahdotcom;4848874949.0;Alex Stefanus;Pak @cakimiNOW @Jazilul_Fawaid @rano_alfath mohon perhatian dan bantuan bpk2 di PKB atas nasib 26.000 pemegang polis Wanaartha Life yg sdh 6 ...;['Wanaartha Life'];https://twitter.com/alexstefanus/status/1284461432961032193;BalikpapanTengah,Indonesia;BalikpapanTengah,Indonesia;-12.452.915;1.168.505.397
52;GULINGKUSUT;173907219.0;Alex Stefanus;Pak Jampidsus @KejaksaanRI kau anggap apa 26.000 pemegang polis wanaartha life ini? Setan blau? @jokowi @rano_alfath @hincapandjaitan ...;['wanaartha life'];https://twitter.com/alexstefanus/status/1301520427496271874;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
53;KompasData;771030588.0;Robert ST (@RobertS24601054) / X;Tak Hanya Blokir dan Sita Aset, Polisi Juga Jemput Paksa Tersangka Wanaartha Life di Luar Negeri -... From m.tribunnews.com.;['Wanaartha Life'];https://twitter.com/RobertS24601054;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
54;octania_;3230363209.0;Indonesia Raya (@Indones20366386) / X;@DPR_RI · @mprgoid · @mohmahfudmd · @mabespolrinews · Korban Wanaartha Life Ceritakan Awal Mula Masalah hingga Laporan ke Bareskrim Polri · From keuangan.kontan ...;['Wanaartha Life'];https://twitter.com/Indones20366386;Bekasi,JawaBarat;Bekasi, Jawa Barat, 17144, Indonesia;-62.349.858;1.069.945.444
55;djasMpu;3192723644.0;Rudy Limin;Jeritan Korban Asuransi WanaArtha Life, Dimana Negara dan Kejaksaan? https://t.co/3xrdnaIML6.;['WanaArtha Life'];https://twitter.com/rudylimin/status/1260890831080157184;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
56;MarketmoverID;1.16e+18;polaroidblur77 - Polaris;Menakar Peluang Keberhasilan Gugatan PKPU oleh Nasabah Wanaartha Life http://kmp.im/AGEWDZ ... WanaArtha Life Jadwalkan Pelaksanaan RUPSLB 4 Januari 2023 https:// ...;['Wanaartha Life', 'WanaArtha Life'];https://twitter.com/polaroidblur77;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
57;KompasData;771030588.0;OJK Harus Segera Buka Blokir Rekening Efek WanaArtha ...;OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! https://t.co/jfPZ2TcICu via @ChangeOrg_ID.;['WanaArtha Life'];https://twitter.com/wiwison79/status/1235441181871374337;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
58;octania_;3230363209.0;Alex Stefanus;sdh 2thn nasib pemegang polis wanaartha life/WAL gak jelas. Beli polis krn ada embel2 terdaftar & diawasi OJK tp pas WAL kena kasus, ...;['wanaartha life'];https://twitter.com/alexstefanus/status/1480071268518936580;Balikpapan, Indonesia;Balikpapan, Kalimantan Timur, 76128, Indonesia;-12.398.711;1.168.593.379
59;Megatop99;278039207.0;Alex Stefanus;Pak @jokowi, Pak @mohmahfudmd kl Restorative Justice thd nsbh Wanaartha Life kpn dilakukan? Ini akibat anak bh bpk di @KejaksaanRI yg sita ...;['Wanaartha Life'];https://twitter.com/alexstefanus/status/1430552570892750853;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
