position,title,snippet,highlighs,link,displayed_link,sitelinks
10,Lyn (@Lolypop502) / X,Tim Likuidasi Wanaartha Life Siap Cairkan Aset Investasi Obligasi https://t.co/sOtIIvkfCl.,['Wanaartha Life'],https://twitter.com/Lolypop502,https://twitter.com › Lolypop502,
11,webarq,A new year means a new online presence #byWEBARQ for WanaArtha Life - now up on https://t.co/nwPFzzcL3Y.,['WanaArtha Life'],https://twitter.com/webarq/status/816502229792276480,https://twitter.com › webarq › status,
12,webarq,"... U1QE. Image. WEBARQ · @webarq. ·. Jan 4, 2017. A new year means a new online presence #byWEBARQ for WanaArtha Life - now up on http://webarq.co/d4CN. Image.",['WanaArtha Life'],https://twitter.com/webarq,https://twitter.com › webarq,
13,Ini Kabar Terbaru Asuransi Bermasalah Kresna Life & ...,OJK telah memberi sanksi Pencabutan Izin Usaha (CIU) ke PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) dan PT Asuransi Jiwa Kresna ( ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1719986437133943099,https://twitter.com › cnbcindonesia › status,
14,"KAP Wanaartha Lakukan 2 Audit Sekaligus, Timnya 60 ...",Kantor Akuntan Publik (KAP) telah mulai bekerja dalam proses likuidasi Asuransi Jiwa Adisarana Wanaartha (Wanaartha LIfe/WAL). Adapun proses ...,['Wanaartha LIfe'],https://twitter.com/cnbcindonesia/status/1655784049280159745,https://twitter.com › cnbcindonesia › status,
15,Katadata.co.id,"Top News: Nasabah Wanaartha Life Protes OJK, Sepak Terjang PT TMI Berikut 5 artikel populer https://t.co/ObAXGQ0Gwc pada Senin (8/1).",['Wanaartha Life'],https://twitter.com/KATADATAcoid/status/1744549482656837872,https://twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=id&u=https://twitter.com/KATADATAcoid/status/1744549482656837872&prev=search&pto=aue'}]}"
16,Investor Daily,"Aspan dan Prolife belum sampai tahap pembayaran klaim, sedangkan Wanaartha Life sudah melalui pembayaran klaim tahap 1.",['Wanaartha Life'],https://twitter.com/InvestorID/status/1765697048500957545,https://twitter.com › InvestorID › status,
17,Nasabah Desak OJK Tindak Pemilik WanaArtha Life Pidana ...,Nasabah Desak OJK Tindak Pemilik WanaArtha Life Pidana Keuangan https://t.co/NFWDMsob92 #TempoBisnis.,['WanaArtha Life'],https://twitter.com/tempodotco/status/1744358697516572953,https://twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=id&u=https://twitter.com/tempodotco/status/1744358697516572953&prev=search&pto=aue'}]}"
18,"Korban Wanaartha Meninggal Usai Sidang, Ini Kata Kuasa ...",Satu korban gagal bayar Asuransi Wanaartha Life meninggal usai terlibat kericuhan di persidangan gugatan class action. 5:55 AM · Dec 20 ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1737350868868141420,https://twitter.com › cnbcindonesia › status,
19,"Peringatan Kesekian, Buron Asuransi Wanaartha Diminta ...",Otoritas Jasa Keuangan (OJK) terus mengawal proses likuidasi dua perusahaan asuransi gagal bayar PT Asuransi Adisarana Wanaartha (Wanaartha Life) ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1760262016428601541,https://twitter.com › cnbcindonesia › status,
20,"TL Cuma Mau Bayar 4,45% Tagihan, Korban Wanaartha ...","Ratusan korban PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) berbondong-bondong mendatangi kantor OJK di Jakarta pada Selasa, (24/1/2024) ...",['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1750041390640513461,https://twitter.com › cnbcindonesia › status,
21,DetikFinance,"Total kewajiban yang harus dibayar WanaArtha Life ke para pemegang polis adalah Rp15,7 triliun tapi aset perusahaan tak sampai Rp100 miliar.",['WanaArtha Life'],https://mobile.twitter.com/detikfinance/status/1609794845043728385,https://mobile.twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=id&u=https://mobile.twitter.com/detikfinance/status/1609794845043728385&prev=search&pto=aue'}]}"
22,Bisnis.com,Nasabah Wanaartha Life meminta proses likuidasi perusahaan yang tengah berlangsung dapat mengembalikan dana mereka dengan maksimal.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1668771245209587712,https://twitter.com › Bisniscom › status,
23,elyawatiku - Elle,#AsuransiWanaarthaLife #AsuransiGagalBayar #WhiteCollarCrimeInIndonesia #OtoritasJasaKeuangan Tim Likuidasi Bakal Lelang Aset Wanaartha Life di Mampang ...,['Wanaartha Life'],https://twitter.com/elyawatiku,https://twitter.com › elyawatiku,
24,"With Maheshwari, Astuty , and Anita at Wanaartha Life Denpasar","With Maheshwari, Astuty , and Anita at Wanaartha Life Denpasar — https://t.co/9qrTSKn1BZ.",['Wanaartha Life'],https://mobile.twitter.com/P_tarri/status/868051302718226432,https://mobile.twitter.com › P_tarri › status,
25,Alex Stefanus (@alexstefanus) / X,"Tempat pelarian pemilik Wanaartha Life Evelina Pietruschka, Manfred Pietruschka & Reza Pietruschka di AS sdh diketahui, sdh msk DPO Interpol jg tp kok ...",['Wanaartha Life'],https://twitter.com/alexstefanus,https://twitter.com › alexstefanus,
26,theiconomic,Nasabah atau pemegang polis terus menuntut PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) untuk membayarkan hak-hak mereka yang sudah ...,['Wanaartha Life'],https://mobile.twitter.com/theiconomic/status/1528663597408063493,https://mobile.twitter.com › theiconomic › status,
27,detikcom,"Tim Likuidasi WanaArtha Life menggelar pertemuan bersama dengan direksi nonaktif dari perusahaan asuransi itu. Lalu, bagaimana hasilnya?",['WanaArtha Life'],https://mobile.twitter.com/detikcom/status/1651397338806591489,https://mobile.twitter.com › detikcom › status,
28,kontan news,WanaArtha Life resmi masuki bisnis DPLK https://t.co/GQ5ry5KN7o #DanaPensiun.,['WanaArtha Life'],https://twitter.com/KontanNews/status/1202535602379358209,https://twitter.com › KontanNews › status,
29,"Duh! Likuidasi Wanaartha Mandek, OJK Kasih Saran Gini","Otoritas Jasa Keuangan membenarkan adanya kendala akses data nasabah PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) yang menghambat proses likuidasi · 6:27 AM · Apr 17, 2023. ·. 509. Views.",['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1647849141467480066,https://twitter.com › cnbcindonesia › status,
30,detikcom,Nasabah WanaArtha Life mengeluhkan proses likuidasi yang mandek dan belum kembalinya uang. Bagaimana ceritanya? https://t.co/r5LCImmsBU.,['WanaArtha Life'],https://mobile.twitter.com/detikcom/status/1651379632560836610,https://mobile.twitter.com › detikcom › status,
31,DetikFinance,Nasabah asuransi jiwa WanaArtha Life melakukan aksi damai di depan Pengadilan Negeri Jakarta Pusat. Apa tuntutannya?,['WanaArtha Life'],https://mobile.twitter.com/detikfinance/status/1291608284298911744,https://mobile.twitter.com › detikfinance › status,
32,Voidotid,Manajemen PT Asuransi Jiwa Adisarana Wanaartha (WanaArtha Life) memastikan akan mengutamakan kepentingan nasabah atau pemegang polis.,['WanaArtha Life'],https://twitter.com/voidotid/status/1517652983491665920,https://twitter.com › voidotid › status,
33,"Evelina Pietruschka Buron, Kok Bisa Zoom Korban ...","Evelina Larasati Fadil Pietruschka, salah satu pemegang saham pemilik (PSP) Wanaartha Life kabarnya pernah menghadiri audiensi virtual · 1:18 AM · Feb 8, 2023. ·. 7,175. Views. 4. Reposts · 1. Quote.",['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1623129004629954563,https://twitter.com › cnbcindonesia › status,
34,Buron Kasus Wanaartha Diduga Sembunyi di Beverly Hills ...,"Buronan kasus WanaArtha Life, Evelina Fadil Pietruschka terindikasi bersembunyi di Beverly Hills, Amerika Serikat. 9:07 AM · Oct 13, 2023.",['WanaArtha Life'],https://twitter.com/cnbcindonesia/status/1712756922557042784,https://twitter.com › cnbcindonesia › status,
35,Chanra (@Chanra25111696) / X,Otoritas Jasa Keuangan (OJK) terus mengawal proses likuidasi dua perusahaan asuransi gagal bayar PT Asuransi Adisarana Wanaartha (Wanaartha Life). 2. 2.,['Wanaartha Life'],https://twitter.com/Chanra25111696,https://twitter.com › Chanra25111696,
36,kompas tv,Namun sejumlah korban PT WAL mempertanyakan nasibnya setelah izin usaha Wanaartha Life dicabut oleh OJK. Puluhan ribu korban yang juga ...,['Wanaartha Life'],https://twitter.com/KompasTV/status/1602584176582340608,https://twitter.com › KompasTV › status,
